API_WellNo,FileNumber,Operator,WellName,County,Pool_Nm,PoolCompDate,Date_Treat,Top_,Bot,Frac_Acid,Units,Vol,Lbs_Prop,Acid_Con,MTPress,MTRate_N,Stages,Wh_Lat,Wh_Long
33053043740000,23739,BURLINGTON RESOURCES OIL & GAS COMPANY LP,BRYCE  34-8TFH,MCKENZIE,BAKKEN,11/20/2013,10/20/2013,11159,21335,SAND,Bbl,51400,3312680,NULL,7644,40,30,47.99273631,-102.9962158
33053043730000,23738,BURLINGTON RESOURCES OIL & GAS COMPANY LP,BRYCE  24-8MBH,MCKENZIE,BAKKEN,11/29/2013,10/16/2013,10946,21243,SAND,Bbl,53056,3350140,NULL,8037,40,30,47.99273651,-102.9963998
33053043720000,23737,BURLINGTON RESOURCES OIL & GAS COMPANY LP,BRYCE  24-8TFH,MCKENZIE,BAKKEN,12/5/2013,10/8/2013,11093,21345,SAND,Bbl,51180,3351360,NULL,7877,40,30,47.99273672,-102.9965838
33053043710000,23736,BURLINGTON RESOURCES OIL & GAS COMPANY LP,BRYCE  41-5TFH,MCKENZIE,BAKKEN,10/15/2014,10/12/2014,11161,16782,SAND,Bbl,27595,2008471,NULL,8628,40.9,17,48.02319917,-102.987491
33053043700000,23735,BURLINGTON RESOURCES OIL & GAS COMPANY LP,BRYCE  11-5MBH,MCKENZIE,BAKKEN,11/18/2013,10/24/2013,11628,20667,SAND,Bbl,55396,3351440,NULL,7913,40,30,48.02267028,-103.0019191
33053043690000,23734,BURLINGTON RESOURCES OIL & GAS COMPANY LP,BRYCE  11-5TFH,MCKENZIE,BAKKEN,11/4/2013,10/26/2013,10949,20988,SAND,Bbl,63350,3108460,NULL,8099,40,30,48.02266719,-103.0021031
33105028000000,23732,EQUINOR ENERGY LP,BOOTS  13-24 4TFH,WILLIAMS,BAKKEN,7/22/2013,6/27/2013,10889,20225,SAND,Bbl,83642,3805250,NULL,9072,39.6,29,48.16781794,-103.8667477
33105027990000,23731,EQUINOR ENERGY LP,DELORME  12-1 4TFH,WILLIAMS,BAKKEN,7/30/2013,6/27/2013,10999,20990,SAND,Bbl,86645,4058017,NULL,8860,39.5,31,48.16781804,-103.8668707
33105027980000,23730,EQUINOR ENERGY LP,BOOTS  13-24 3H,WILLIAMS,BAKKEN,7/26/2013,6/26/2013,10924,20303,SAND,Bbl,73304,3767054,NULL,9004,39,32,48.16781813,-103.8669937
33105027970000,23729,EQUINOR ENERGY LP,DELORME  12-1 3H,WILLIAMS,BAKKEN,7/18/2013,6/27/2013,10959,21070,SAND,Bbl,76444,4087340,NULL,9050,39.7,34,48.16781823,-103.8671167
