30541,1951820,9029,41.4,26,9344
30597,1972840,8466,50.6,30,9373
70529,3434034,9300,30,32,9458
75687,3727220,9435,46.7,31,9391
61513,2659611,8714,73,26,9322
58385,2851560,8945,71,26,9978
66898,2604000,8735,57,24,9727
64388,3306501,9140,50,24,9919
62534,3348369,8350,50,24,9434
43278,2449285,8500,30,26,8563
52868,2238330,8609,58,26,9405
58306,2798725,7598,40.6,30,9405
61231,3845530,6840,31,30,9660
61220,3495120,9300,30,32,9371
62399,3066787,7189,20.5,31,10758
62399,3066787,7189,20.5,31,10758
44634,3066787,8037,34.8,25,9722
44634,3066787,8037,34.8,25,9722
64451,2534636,7909,44,24,9543
78582,3857420,9507,41.1,38,9920
78582,3857420,9507,41.1,38,9920
79977,3857420,9658,38.8,38,9395
79977,3857420,9658,38.8,38,9395
51999,2829953,8129,32.4,24,9682
50685,2728810,7420,42,26,9628
64034,4347271,8518,36.3,26,9212
66246,2924263,8999,38.5,26,9092
50554,2753266,8087,31,30,9655
34878,2444960,8769,43.4,26,9312
64163,2874767,8928,38.5,25,9175
18632,1271500,6642,35.8,26,9183
51084,3064563,8632,24,31,9799
42271,2808870,6420,31,26,9000
85135,3854880,9500,44.4,38,9413
15646,1211200,7109,42.9,26,9826
12650,543482,9017,25,6,8480
22202,1863599,6651,31.8,18,4143
33310,2218500,8716,50.5,26,8877
23371,1856940,7814,44.1,26,9457
46194,2821340,6090,43,26,9485
43621,2831934,6417,32,24,9574
13170,1399748,5859,21.7,18,4250
24155,2687880,7689,32.2,20,10126
60840,3013222,7935,40.1,26,9363
36032,2931320,8229,31.6,38,9334
82504,3918293,8302,26.7,31,9456
68476,2790810,9043,36.7,30,7164
47338,2839049,6491,45.3,16,9265
66040,3519400,8098,45.4,26,9624
51025,2854427,7376,32,26,8271
41165,150332,7760,40.2,20,7745
49524,1667574,8560,63.2,21,9415
28255,1684660,6903,43.1,26,9238
20133,2293520,8307,33,26,9308
31576,2368012,8264,23.8,26,5805
48271,2335510,7987,40.3,26,9656
56579,1250529,8096,45.9,26,8915
48849,2810300,6650,31,26,9647
36616,3828340,8273,51,38,9139
39671,2377100,8040,40.3,30,10870
62414,3033093,8693,51,24,9174
45009,2165840,8232,28,26,5122
4222,236931,7097,26.7,26,6871
52375,2469702,8547,58,26,10253
71188,2315960,9252,39.3,23,9387
30522,1917748,8413,36.1,26,7764
31982,2254960,7578,28,26,9447
36837,2549220,8434,36,30,9280
76942,2674660,8477,36.1,26,9144
54139,3310648,8935,25.6,31,10101
39338,1683214,8358,36.8,27,3955
40010,2625000,8032,58.2,26,9371
66472,3428970,11800,37.1,26,9004
79048,3081152,9011,36.2,26,8942
75063,2919133,8518,68,25,9369
70554,2888436,8693,57,25,9953
25420,2704820,7780,29.5,26,10100
22184,2088540,8059,28.2,26,7748
21725,1512430,7162,32.9,26,4311
